P	w[0]=向	w[1]=朋友	pos[0]=P	pos[1]=N	__BOS__
N	w[-1]=比	w[0]=一般人	w[1]=更多	pos[-1]=P	pos[0]=N	pos[1]=DET
DET	w[-1]=一般人	w[0]=更多	w[1]=朋友	pos[-1]=N	pos[0]=DET	pos[1]=N
N	w[-1]=更多	w[0]=朋友	w[1]=之間	pos[-1]=DET	pos[0]=N	pos[1]=POST
POST	w[-1]=朋友	w[0]=之間	w[1]=「	pos[-1]=N	pos[0]=POST	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=之間	w[0]=「	w[1]=善意	pos[-1]=POST	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=善意	w[1]=的	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=T
T	w[-1]=善意	w[0]=的	w[1]=傷害	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=傷害	w[1]=」	pos[-1]=T	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=傷害	w[0]=」	w[1]=。	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=」	w[0]=。	w[1]=令	pos[-1]=PARENTHESISCATEGORY	pos[0]=PERIODCATEGORY	pos[1]=Vt	__EOS__
Vt	w[-1]=。	w[0]=令	w[1]=我	pos[-1]=PERIODCATEGORY	pos[0]=Vt	pos[1]=N
N	w[-1]=令	w[0]=我	w[1]=印象	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=我	w[0]=印象	w[1]=最	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=印象	w[0]=最	w[1]=深刻	pos[-1]=N	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=最	w[0]=深刻	w[1]=的	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=深刻	w[0]=的	w[1]=案例	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=案例	w[1]=是	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=案例	w[0]=是	w[1]=兩	pos[-1]=N	pos[0]=Vt	pos[1]=DET
DET	w[-1]=是	w[0]=兩	w[1]=個	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=兩	w[0]=個	w[1]=原本	pos[-1]=DET	pos[0]=M	pos[1]=ADV
ADV	w[-1]=個	w[0]=原本	w[1]=親密	pos[-1]=M	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=原本	w[0]=親密	w[1]=的	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=親密	w[0]=的	w[1]=手帕	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=手帕	w[1]=交	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=手帕	w[0]=交	w[1]=，	pos[-1]=N	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=交	w[0]=，	w[1]=在	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=P
P	w[-1]=，	w[0]=在	w[1]=一	pos[-1]=COMMACATEGORY	pos[0]=P	pos[1]=DET
DET	w[-1]=在	w[0]=一	w[1]=次	pos[-1]=P	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=次	w[1]=兩	pos[-1]=DET	pos[0]=M	pos[1]=DET
DET	w[-1]=次	w[0]=兩	w[1]=人	pos[-1]=M	pos[0]=DET	pos[1]=N
N	w[-1]=兩	w[0]=人	w[1]=同時	pos[-1]=DET	pos[0]=N	pos[1]=N
N	w[-1]=人	w[0]=同時	w[1]=情緒	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=同時	w[0]=情緒	w[1]=惡劣	pos[-1]=N	pos[0]=N	pos[1]=Vi
Vi	w[-1]=情緒	w[0]=惡劣	w[1]=的	pos[-1]=N	pos[0]=Vi	pos[1]=T
T	w[-1]=惡劣	w[0]=的	w[1]=情況	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=情況	w[1]=下	pos[-1]=T	pos[0]=N	pos[1]=POST
POST	w[-1]=情況	w[0]=下	w[1]=尋求	pos[-1]=N	pos[0]=POST	pos[1]=Vt
Vt	w[-1]=下	w[0]=尋求	w[1]=對方	pos[-1]=POST	pos[0]=Vt	pos[1]=N
N	w[-1]=尋求	w[0]=對方	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=對方	w[0]=的	w[1]=支持	pos[-1]=N	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=支持	w[1]=，	pos[-1]=T	pos[0]=Nv	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=支持	w[0]=，	w[1]=但	pos[-1]=Nv	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=但	w[1]=談話	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=Vi
Vi	w[-1]=但	w[0]=談話	w[1]=中	pos[-1]=C	pos[0]=Vi	pos[1]=POST
POST	w[-1]=談話	w[0]=中	w[1]=彼此	pos[-1]=Vi	pos[0]=POST	pos[1]=N
N	w[-1]=中	w[0]=彼此	w[1]=誤解	pos[-1]=POST	pos[0]=N	pos[1]=Vt
Vt	w[-1]=彼此	w[0]=誤解	w[1]=對方	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=誤解	w[0]=對方	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=對方	w[0]=的	w[1]=意思	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=意思	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=意思	w[0]=，	w[1]=再	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=再	w[1]=加上	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=再	w[0]=加上	w[1]=後來	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=加上	w[0]=後來	w[1]=週遭	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=後來	w[0]=週遭	w[1]=朋友	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=週遭	w[0]=朋友	w[1]=的	pos[-1]=N	pos[0]=N	pos[1]=T
T	w[-1]=朋友	w[0]=的	w[1]=推波助瀾	pos[-1]=N	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=推波助瀾	w[1]=，	pos[-1]=T	pos[0]=Nv	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=推波助瀾	w[0]=，	w[1]=後來	pos[-1]=Nv	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=後來	w[1]=竟	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=ADV
ADV	w[-1]=後來	w[0]=竟	w[1]=演出	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=竟	w[0]=演出	w[1]=反目成仇	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=演出	w[0]=反目成仇	w[1]=與	pos[-1]=Vt	pos[0]=Vi	pos[1]=C
C	w[-1]=反目成仇	w[0]=與	w[1]=背叛	pos[-1]=Vi	pos[0]=C	pos[1]=Vt
Vt	w[-1]=與	w[0]=背叛	w[1]=的	pos[-1]=C	pos[0]=Vt	pos[1]=T
T	w[-1]=背叛	w[0]=的	w[1]=悲劇	pos[-1]=Vt	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=悲劇	w[1]=。	pos[-1]=T	pos[0]=N	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=悲劇	w[0]=。	w[1]=經常	pos[-1]=N	pos[0]=PERIODCATEGORY	pos[1]=ADV	__EOS__
ADV	w[-1]=。	w[0]=經常	w[1]=跟	pos[-1]=PERIODCATEGORY	pos[0]=ADV	pos[1]=P
P	w[-1]=經常	w[0]=跟	w[1]=朋友	pos[-1]=ADV	pos[0]=P	pos[1]=N
N	w[-1]=跟	w[0]=朋友	w[1]=交換	pos[-1]=P	pos[0]=N	pos[1]=Vt
Vt	w[-1]=朋友	w[0]=交換	w[1]=惡劣	pos[-1]=N	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=交換	w[0]=惡劣	w[1]=情緒	pos[-1]=Vt	pos[0]=Vi	pos[1]=N
N	w[-1]=惡劣	w[0]=情緒	w[1]=的	pos[-1]=Vi	pos[0]=N	pos[1]=T
T	w[-1]=情緒	w[0]=的	w[1]=另	pos[-1]=N	pos[0]=T	pos[1]=DET
DET	w[-1]=的	w[0]=另	w[1]=一	pos[-1]=T	pos[0]=DET	pos[1]=DET
DET	w[-1]=另	w[0]=一	w[1]=個	pos[-1]=DET	pos[0]=DET	pos[1]=M
M	w[-1]=一	w[0]=個	w[1]=危險	pos[-1]=DET	pos[0]=M	pos[1]=Vi
Vi	w[-1]=個	w[0]=危險	w[1]=就	pos[-1]=M	pos[0]=Vi	pos[1]=ADV
ADV	w[-1]=危險	w[0]=就	w[1]=是	pos[-1]=Vi	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=就	w[0]=是	w[1]=人緣	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=是	w[0]=人緣	w[1]=可能	pos[-1]=Vt	pos[0]=N	pos[1]=ADV
ADV	w[-1]=人緣	w[0]=可能	w[1]=會	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=可能	w[0]=會	w[1]=變差	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=會	w[0]=變差	w[1]=！	pos[-1]=ADV	pos[0]=Vi	pos[1]=EXCLAMATIONCATEGORY
EXCLAMATIONCATEGORY	w[-1]=變差	w[0]=！	w[1]=朋友	pos[-1]=Vi	pos[0]=EXCLAMATIONCATEGORY	pos[1]=N
N	w[-1]=！	w[0]=朋友	w[1]=們	pos[-1]=EXCLAMATIONCATEGORY	pos[0]=N	pos[1]=N
N	w[-1]=朋友	w[0]=們	w[1]=一	pos[-1]=N	pos[0]=N	pos[1]=ADV
ADV	w[-1]=們	w[0]=一	w[1]=看到	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=一	w[0]=看到	w[1]=你	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=看到	w[0]=你	w[1]=的	pos[-1]=Vt	pos[0]=N	pos[1]=T
T	w[-1]=你	w[0]=的	w[1]=手機	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=手機	w[1]=來電	pos[-1]=T	pos[0]=N	pos[1]=Vi
Vi	w[-1]=手機	w[0]=來電	w[1]=顯示	pos[-1]=N	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=來電	w[0]=顯示	w[1]=，	pos[-1]=Vi	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=顯示	w[0]=，	w[1]=就	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=就	w[1]=開始	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=就	w[0]=開始	w[1]=盡量	pos[-1]=ADV	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=開始	w[0]=盡量	w[1]=躲避	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=盡量	w[0]=躲避	w[1]=不	pos[-1]=ADV	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=躲避	w[0]=不	w[1]=接	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=不	w[0]=接	w[1]=，	pos[-1]=ADV	pos[0]=Vt	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=接	w[0]=，	w[1]=或是	pos[-1]=Vt	pos[0]=COMMACATEGORY	pos[1]=C
C	w[-1]=，	w[0]=或是	w[1]=想	pos[-1]=COMMACATEGORY	pos[0]=C	pos[1]=Vt
Vt	w[-1]=或是	w[0]=想	w[1]=辦法	pos[-1]=C	pos[0]=Vt	pos[1]=N
N	w[-1]=想	w[0]=辦法	w[1]=用	pos[-1]=Vt	pos[0]=N	pos[1]=Vt
Vt	w[-1]=辦法	w[0]=用	w[1]=正在	pos[-1]=N	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=用	w[0]=正在	w[1]=開會	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=正在	w[0]=開會	w[1]=等	pos[-1]=ADV	pos[0]=Vi	pos[1]=POST
POST	w[-1]=開會	w[0]=等	w[1]=藉口	pos[-1]=Vi	pos[0]=POST	pos[1]=N
N	w[-1]=等	w[0]=藉口	w[1]=讓	pos[-1]=POST	pos[0]=N	pos[1]=Vt
Vt	w[-1]=藉口	w[0]=讓	w[1]=你	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=讓	w[0]=你	w[1]=「	pos[-1]=Vt	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=你	w[0]=「	w[1]=長話短說	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=Vi
Vi	w[-1]=「	w[0]=長話短說	w[1]=」	pos[-1]=PARENTHESISCATEGORY	pos[0]=Vi	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=長話短說	w[0]=」	w[1]=。	pos[-1]=Vi	pos[0]=PARENTHESISCATEGORY	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=」	w[0]=。	w[1]=有效	pos[-1]=PARENTHESISCATEGORY	pos[0]=PERIODCATEGORY	pos[1]=Vi	__EOS__
Vi	w[-1]=。	w[0]=有效	w[1]=的	pos[-1]=PERIODCATEGORY	pos[0]=Vi	pos[1]=T
T	w[-1]=有效	w[0]=的	w[1]=談話	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=談話	w[1]=是	pos[-1]=T	pos[0]=N	pos[1]=Vt
Vt	w[-1]=談話	w[0]=是	w[1]=隱形	pos[-1]=N	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=是	w[0]=隱形	w[1]=的	pos[-1]=Vt	pos[0]=Vi	pos[1]=T
T	w[-1]=隱形	w[0]=的	w[1]=腦部	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=腦部	w[1]=手術	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=腦部	w[0]=手術	w[1]=我	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=手術	w[0]=我	w[1]=長期	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=我	w[0]=長期	w[1]=從事	pos[-1]=N	pos[0]=N	pos[1]=Vt
Vt	w[-1]=長期	w[0]=從事	w[1]=心理	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=從事	w[0]=心理	w[1]=治療	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=心理	w[0]=治療	w[1]=的	pos[-1]=N	pos[0]=N	pos[1]=T
T	w[-1]=治療	w[0]=的	w[1]=工作	pos[-1]=N	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=工作	w[1]=，	pos[-1]=T	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=工作	w[0]=，	w[1]=經常	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=經常	w[1]=遇到	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=經常	w[0]=遇到	w[1]=一般	pos[-1]=ADV	pos[0]=Vt	pos[1]=A
A	w[-1]=遇到	w[0]=一般	w[1]=民眾	pos[-1]=Vt	pos[0]=A	pos[1]=N
N	w[-1]=一般	w[0]=民眾	w[1]=問	pos[-1]=A	pos[0]=N	pos[1]=Vt
Vt	w[-1]=民眾	w[0]=問	w[1]=我	pos[-1]=N	pos[0]=Vt	pos[1]=N
N	w[-1]=問	w[0]=我	w[1]=：	pos[-1]=Vt	pos[0]=N	pos[1]=COLONCATEGORY
COLONCATEGORY	w[-1]=我	w[0]=：	w[1]=「	pos[-1]=N	pos[0]=COLONCATEGORY	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=：	w[0]=「	w[1]=心理	pos[-1]=COLONCATEGORY	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=「	w[0]=心理	w[1]=治療	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=N
N	w[-1]=心理	w[0]=治療	w[1]=？	pos[-1]=N	pos[0]=N	pos[1]=QUESTIONCATEGORY
QUESTIONCATEGORY	w[-1]=治療	w[0]=？	w[1]=不	pos[-1]=N	pos[0]=QUESTIONCATEGORY	pos[1]=ADV
ADV	w[-1]=？	w[0]=不	w[1]=就是	pos[-1]=QUESTIONCATEGORY	pos[0]=ADV	pos[1]=C
C	w[-1]=不	w[0]=就是	w[1]=聊聊天	pos[-1]=ADV	pos[0]=C	pos[1]=Vi
Vi	w[-1]=就是	w[0]=聊聊天	w[1]=，	pos[-1]=C	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=聊聊天	w[0]=，	w[1]=那	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=DET
DET	w[-1]=，	w[0]=那	w[1]=怎麼	pos[-1]=COMMACATEGORY	pos[0]=DET	pos[1]=ADV
ADV	w[-1]=那	w[0]=怎麼	w[1]=會	pos[-1]=DET	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=怎麼	w[0]=會	w[1]=有效	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=會	w[0]=有效	w[1]=呢	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=有效	w[0]=呢	w[1]=？	pos[-1]=Vi	pos[0]=T	pos[1]=QUESTIONCATEGORY
QUESTIONCATEGORY	w[-1]=呢	w[0]=？	w[1]=」	pos[-1]=T	pos[0]=QUESTIONCATEGORY	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=？	w[0]=」	w[1]=以往	pos[-1]=QUESTIONCATEGORY	pos[0]=PARENTHESISCATEGORY	pos[1]=N
N	w[-1]=」	w[0]=以往	w[1]=，	pos[-1]=PARENTHESISCATEGORY	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=以往	w[0]=，	w[1]=要	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=要	w[1]=回答	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=要	w[0]=回答	w[1]=這	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=回答	w[0]=這	w[1]=個	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=這	w[0]=個	w[1]=問題	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=個	w[0]=問題	w[1]=確實	pos[-1]=M	pos[0]=N	pos[1]=ADV
ADV	w[-1]=問題	w[0]=確實	w[1]=不	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=確實	w[0]=不	w[1]=容易	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=不	w[0]=容易	w[1]=，	pos[-1]=ADV	pos[0]=Vi	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=容易	w[0]=，	w[1]=要	pos[-1]=Vi	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=要	w[1]=說明	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=要	w[0]=說明	w[1]=心理	pos[-1]=ADV	pos[0]=Vt	pos[1]=N
N	w[-1]=說明	w[0]=心理	w[1]=治療	pos[-1]=Vt	pos[0]=N	pos[1]=N
N	w[-1]=心理	w[0]=治療	w[1]=中	pos[-1]=N	pos[0]=N	pos[1]=POST
POST	w[-1]=治療	w[0]=中	w[1]=治療師	pos[-1]=N	pos[0]=POST	pos[1]=N
N	w[-1]=中	w[0]=治療師	w[1]=與	pos[-1]=POST	pos[0]=N	pos[1]=C
C	w[-1]=治療師	w[0]=與	w[1]=個案	pos[-1]=N	pos[0]=C	pos[1]=N
N	w[-1]=與	w[0]=個案	w[1]=之間	pos[-1]=C	pos[0]=N	pos[1]=POST
POST	w[-1]=個案	w[0]=之間	w[1]=的	pos[-1]=N	pos[0]=POST	pos[1]=T
T	w[-1]=之間	w[0]=的	w[1]=的	pos[-1]=POST	pos[0]=T	pos[1]=T
T	w[-1]=的	w[0]=的	w[1]=移情	pos[-1]=T	pos[0]=T	pos[1]=Nv
Nv	w[-1]=的	w[0]=移情	w[1]=與	pos[-1]=T	pos[0]=Nv	pos[1]=C
C	w[-1]=移情	w[0]=與	w[1]=反	pos[-1]=Nv	pos[0]=C	pos[1]=Vt
Vt	w[-1]=與	w[0]=反	w[1]=移情	pos[-1]=C	pos[0]=Vt	pos[1]=Nv
Nv	w[-1]=反	w[0]=移情	w[1]=現象	pos[-1]=Vt	pos[0]=Nv	pos[1]=N
N	w[-1]=移情	w[0]=現象	w[1]=，	pos[-1]=Nv	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=現象	w[0]=，	w[1]=往往	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=ADV
ADV	w[-1]=，	w[0]=往往	w[1]=開口	pos[-1]=COMMACATEGORY	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=往往	w[0]=開口	w[1]=解釋	pos[-1]=ADV	pos[0]=Vi	pos[1]=Vt
Vt	w[-1]=開口	w[0]=解釋	w[1]=不	pos[-1]=Vi	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=解釋	w[0]=不	w[1]=到	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=不	w[0]=到	w[1]=兩三	pos[-1]=ADV	pos[0]=Vt	pos[1]=DET
DET	w[-1]=到	w[0]=兩三	w[1]=句	pos[-1]=Vt	pos[0]=DET	pos[1]=M
M	w[-1]=兩三	w[0]=句	w[1]=話	pos[-1]=DET	pos[0]=M	pos[1]=N
N	w[-1]=句	w[0]=話	w[1]=，	pos[-1]=M	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=話	w[0]=，	w[1]=對方	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=N
N	w[-1]=，	w[0]=對方	w[1]=就	pos[-1]=COMMACATEGORY	pos[0]=N	pos[1]=ADV
ADV	w[-1]=對方	w[0]=就	w[1]=開始	pos[-1]=N	pos[0]=ADV	pos[1]=Vt
Vt	w[-1]=就	w[0]=開始	w[1]=打哈欠	pos[-1]=ADV	pos[0]=Vt	pos[1]=Vi
Vi	w[-1]=開始	w[0]=打哈欠	w[1]=。	pos[-1]=Vt	pos[0]=Vi	pos[1]=PERIODCATEGORY
PERIODCATEGORY	w[-1]=打哈欠	w[0]=。	w[1]=但	pos[-1]=Vi	pos[0]=PERIODCATEGORY	pos[1]=C	__EOS__
C	w[-1]=。	w[0]=但	w[1]=現在	pos[-1]=PERIODCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=但	w[0]=現在	w[1]=借助	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=現在	w[0]=借助	w[1]=最	pos[-1]=N	pos[0]=Vt	pos[1]=ADV
ADV	w[-1]=借助	w[0]=最	w[1]=新	pos[-1]=Vt	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=最	w[0]=新	w[1]=的	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=新	w[0]=的	w[1]=腦部	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=腦部	w[1]=功能	pos[-1]=T	pos[0]=N	pos[1]=N
N	w[-1]=腦部	w[0]=功能	w[1]=攝影	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=功能	w[0]=攝影	w[1]=技術	pos[-1]=N	pos[0]=N	pos[1]=N
N	w[-1]=攝影	w[0]=技術	w[1]=，	pos[-1]=N	pos[0]=N	pos[1]=COMMACATEGORY
COMMACATEGORY	w[-1]=技術	w[0]=，	w[1]=任何	pos[-1]=N	pos[0]=COMMACATEGORY	pos[1]=DET
DET	w[-1]=，	w[0]=任何	w[1]=人	pos[-1]=COMMACATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=任何	w[0]=人	w[1]=都	pos[-1]=DET	pos[0]=N	pos[1]=ADV
ADV	w[-1]=人	w[0]=都	w[1]=可以	pos[-1]=N	pos[0]=ADV	pos[1]=ADV
ADV	w[-1]=都	w[0]=可以	w[1]=清楚	pos[-1]=ADV	pos[0]=ADV	pos[1]=Vi
Vi	w[-1]=可以	w[0]=清楚	w[1]=地	pos[-1]=ADV	pos[0]=Vi	pos[1]=T
T	w[-1]=清楚	w[0]=地	w[1]=看到	pos[-1]=Vi	pos[0]=T	pos[1]=Vt
Vt	w[-1]=地	w[0]=看到	w[1]=「	pos[-1]=T	pos[0]=Vt	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=看到	w[0]=「	w[1]=和	pos[-1]=Vt	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=「	w[0]=和	w[1]=朋友	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=和	w[0]=朋友	w[1]=聊天	pos[-1]=C	pos[0]=N	pos[1]=Vi
Vi	w[-1]=朋友	w[0]=聊天	w[1]=」	pos[-1]=N	pos[0]=Vi	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=聊天	w[0]=」	w[1]=與	pos[-1]=Vi	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=」	w[0]=與	w[1]=跟	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=P
P	w[-1]=與	w[0]=跟	w[1]=「	pos[-1]=C	pos[0]=P	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=跟	w[0]=「	w[1]=和	pos[-1]=P	pos[0]=PARENTHESISCATEGORY	pos[1]=C
C	w[-1]=「	w[0]=和	w[1]=治療師	pos[-1]=PARENTHESISCATEGORY	pos[0]=C	pos[1]=N
N	w[-1]=和	w[0]=治療師	w[1]=協助	pos[-1]=C	pos[0]=N	pos[1]=Vt
Vt	w[-1]=治療師	w[0]=協助	w[1]=下	pos[-1]=N	pos[0]=Vt	pos[1]=POST
POST	w[-1]=協助	w[0]=下	w[1]=有效	pos[-1]=Vt	pos[0]=POST	pos[1]=Vi
Vi	w[-1]=下	w[0]=有效	w[1]=的	pos[-1]=POST	pos[0]=Vi	pos[1]=T
T	w[-1]=有效	w[0]=的	w[1]=談話	pos[-1]=Vi	pos[0]=T	pos[1]=N
N	w[-1]=的	w[0]=談話	w[1]=」	pos[-1]=T	pos[0]=N	pos[1]=PARENTHESISCATEGORY
PARENTHESISCATEGORY	w[-1]=談話	w[0]=」	w[1]=兩	pos[-1]=N	pos[0]=PARENTHESISCATEGORY	pos[1]=DET
DET	w[-1]=」	w[0]=兩	w[1]=者	pos[-1]=PARENTHESISCATEGORY	pos[0]=DET	pos[1]=N
N	w[-1]=兩	w[0]=者	w[1]=之間	pos[-1]=DET	pos[0]=N	pos[1]=POST
